,S,E,Ia,Is,R,Ihsub,Ihcrit,D,Htot,Dperday,NCperday,Hcumulative
2020-08-20,1495130.6210489485,13329.587319014618,28617.877866877436,11558.921147055342,9040571.362719923,5200.879104549635,3271.69319909039,68427.05759454412,8472.572303640023,158.06608549726127,2106.0330494968453,362310.7396579263
2020-08-21,1493024.5879994512,12242.634329249857,26316.756276148048,10628.84858856072,9047403.36485018,4853.557871226148,3053.12640514266,68585.12368004139,7906.684276368808,147.47076957131358,1933.8894778608185,362563.532826285
2020-08-22,1491090.6985215906,11241.23269797622,24200.722436533862,9773.64687925729,9053693.831327474,4527.3934233536,2847.880264201509,68732.59444961269,7375.273687555107,137.52639016401656,1776.1070528729038,362795.93850769696
2020-08-23,1489314.5914687174,10321.035527266551,22253.1610459103,8986.592117883405,9059485.87067655,4221.335487325301,2655.2928365732305,68870.12083977673,6876.628323898532,128.19874331365514,1631.1843382976215,363009.6141568961
2020-08-24,1487683.4071304197,9476.89890607093,20459.966973145503,8261.975490178354,9064818.38583133,3934.3399185329467,2474.7061672307386,68998.31958309036,6409.046085763686,119.45656690778485,1498.1584967137894,363206.0504006235
2020-08-25,1486185.248633707,8703.383701856796,18808.51012864296,7594.684243309162,9069727.518423446,3665.395566337893,2305.483152703341,69117.77614999816,5970.878719041237,111.26859883395092,1376.0666907001835,363386.62993095815
2020-08-26,1484809.1819430059,7994.755560608931,17287.63546434125,6980.2016858705665,9074246.648782194,3413.5242740711324,2147.007541076737,69229.0447488321,5560.53181514787,103.60357697970736,1263.9460828356428,363552.62750531634
2020-08-27,1483545.2358601703,7344.984906829478,15887.66297371422,6414.6071878850325,9078406.39593456,3177.7808790333033,1998.6839319930184,69332.64832581181,5176.464811026322,96.4302392325994,1160.8338356989175,363705.2099464521
2020-08-28,1482384.4020244712,6747.746943537913,14600.387691770935,5894.57618080277,9082234.617605228,2957.2532124946997,1859.9377766506734,69429.0785650444,4817.1909891453715,89.71901606158798,1065.8783672290774,363845.436142457
2020-08-29,1481318.5236572418,6196.756953137793,13418.687803864192,5417.222207836051,9085756.730282348,2751.0645861412795,1730.2169283267826,69518.79758110599,4481.281514468063,83.45066652534577,979.0066737893974,363974.2698378188
2020-08-30,1480339.5169834532,5689.21156267084,12333.021639946235,4978.686275460304,9088997.915171126,2558.395147175469,1609.0049725365982,69602.24824763135,4167.400119712068,77.59179605573738,899.1918087206875,364092.6677569177
2020-08-31,1479440.325174732,5222.979259588293,11334.790194228051,4575.4923919328085,9091980.309057496,2378.4577267191444,1495.8061516205994,69679.84004368709,3874.263878339743,72.11912745154586,825.8290294723953,364201.46718328795
2020-09-01,1478614.4961452596,4795.511908890526,10416.535049509974,4204.62491736555,9094724.23287135,2210.49585367978,1390.1440828092066,69751.95917113859,3600.639936488986,67.01188815407903,758.4595731672204,364301.43498695904
2020-09-02,1477856.0365720922,4404.095884520917,9571.557703502847,3863.3749357874967,9097248.614391878,2053.786183332875,1291.5632695932024,69818.97105929271,3345.3494529260774,62.24930560465002,696.6246769278919,364393.28451573907
2020-09-03,1477159.4118951648,4045.852069365868,8793.919568828096,3549.3402551446143,9099570.988247553,1907.6384973219565,1199.6291017237402,69881.22036489735,3107.2675990456964,57.810607244565794,639.8655778771293,364477.6755952129
2020-09-04,1476519.5463172873,3717.7358552547917,8078.4419730176505,3260.425407299871,9101707.49591613,1771.3957036585728,1113.9278552123378,69939.03097214192,2885.3235588709117,53.67502051514202,587.723513137653,364555.21452874417
2020-09-05,1475931.82280415,3416.537142960102,7420.7061585139945,2994.8416480332203,9103672.885724634,1644.4338367222979,1034.066692330877,69992.70599265707,2678.500529053175,49.82177285768362,539.7397198322063,364626.4540974738
