FIP,County,_0to9,_10to19,_20to29,_30to39,_40to49,_50to59,_60to69,_70to79,_80up,POPSIZE
13113,"Fayette County, Georgia",0.10213090065606123,0.14998528622617666,0.10379269158199034,0.09715418303934636,0.12739531582682753,0.15176824940712147,0.13080544928941126,0.08212016825633127,0.054847755716733886,115538.0
13115,"Floyd County, Georgia",0.12134415064102565,0.13885216346153847,0.1322716346153846,0.1201923076923077,0.11875,0.12498998397435895,0.11227964743589744,0.07258613782051282,0.058733974358974365,99840.0
13117,"Forsyth County, Georgia",0.13472916091348044,0.16100553142704124,0.08943589486104486,0.13150319249533468,0.17149097481987294,0.1372982200687872,0.08460321843697438,0.05695026736625411,0.03298353961121014,238998.0
13119,"Franklin County, Georgia",0.11664041547826827,0.1264739687539909,0.12919841641479715,0.10893533693755053,0.11310714741816015,0.13294453194840578,0.12434549401898601,0.0855221148524967,0.06283257417734453,23491.0
13121,"Fulton County, Georgia",0.11690795839948892,0.12830394302947173,0.15893029941469922,0.15283866179385766,0.13817983671705453,0.12541032121081164,0.09114814780018976,0.04949126746272583,0.03878956417170076,1064410.0
13123,"Gilmer County, Georgia",0.10153542931620944,0.10490510856089263,0.0960040690466351,0.09632196331500142,0.1158406713926948,0.13955558381282385,0.16559112439202722,0.11399688463617,0.06624916552754552,31457.0
13125,"Glascock County, Georgia",0.1039298473530367,0.1325105553751218,0.1130237089964274,0.10133160116921078,0.13933095160766482,0.13965573238064308,0.12016888600194868,0.07794738551477752,0.07210133160116923,3079.0
13127,"Glynn County, Georgia",0.11364132746312923,0.12237766257055165,0.1172852988171462,0.1138712310185877,0.11460692239605486,0.13160829032220986,0.13172324209993908,0.09207637396112332,0.06280965135125814,86993.0
13129,"Gordon County, Georgia",0.12399589813707057,0.14100153819859856,0.12295334130917793,0.12332934541104085,0.13510511023756622,0.13585711844129209,0.10558878824132628,0.0672534609468467,0.044915399077080836,58510.0
13131,"Grady County, Georgia",0.12884165443946544,0.1360590078121902,0.10857754689296904,0.11595352341674267,0.11476384978387595,0.13439346472617678,0.12166395685450293,0.08046159336955229,0.059285402704524724,25217.0
